"Farm product prices, crops and livestock 1"
"Frequency: Monthly"
"Table: 32-10-0077-01 (formerly CANSIM 002-0043)"
"Release date: 2026-03-10"
"Geography: Province or territory"
""
""

"Geography","Farm products 2","January 2000","February 2000","March 2000","April 2000","May 2000","June 2000","July 2000","August 2000","September 2000","October 2000","November 2000","December 2000","January 2001","February 2001","March 2001","April 2001","May 2001","June 2001","July 2001","August 2001","September 2001","October 2001","November 2001","December 2001","January 2002","February 2002","March 2002","April 2002","May 2002","June 2002","July 2002","August 2002","September 2002","October 2002","November 2002","December 2002","January 2003","February 2003","March 2003","April 2003","May 2003","June 2003","July 2003","August 2003","September 2003","October 2003","November 2003","December 2003","January 2004","February 2004","March 2004","April 2004","May 2004","June 2004","July 2004","August 2004","September 2004","October 2004","November 2004","December 2004","January 2005","February 2005","March 2005","April 2005","May 2005","June 2005","July 2005","August 2005","September 2005","October 2005","November 2005","December 2005","January 2006","February 2006","March 2006","April 2006","May 2006","June 2006","July 2006","August 2006","September 2006","October 2006","November 2006","December 2006","January 2007","February 2007","March 2007","April 2007","May 2007","June 2007","July 2007","August 2007","September 2007","October 2007","November 2007","December 2007","January 2008","February 2008","March 2008","April 2008","May 2008","June 2008","July 2008","August 2008","September 2008","October 2008","November 2008","December 2008","January 2009","February 2009","March 2009","April 2009","May 2009","June 2009","July 2009","August 2009","September 2009","October 2009","November 2009","December 2009","January 2010","February 2010","March 2010","April 2010","May 2010","June 2010","July 2010","August 2010","September 2010","October 2010","November 2010","December 2010","January 2011","February 2011","March 2011","April 2011","May 2011","June 2011","July 2011","August 2011","September 2011","October 2011","November 2011","December 2011","January 2012","February 2012","March 2012","April 2012","May 2012","June 2012","July 2012","August 2012","September 2012","October 2012","November 2012","December 2012","January 2013","February 2013","March 2013","April 2013","May 2013","June 2013","July 2013","August 2013","September 2013","October 2013","November 2013","December 2013","January 2014","February 2014","March 2014","April 2014","May 2014","June 2014","July 2014","August 2014","September 2014","October 2014","November 2014","December 2014","January 2015","February 2015","March 2015","April 2015","May 2015","June 2015","July 2015","August 2015","September 2015","October 2015","November 2015","December 2015","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025","February 2025","March 2025","April 2025","May 2025","June 2025","July 2025","August 2025","September 2025","October 2025","November 2025","December 2025","January 2026"
,"Non-board wheat (except durum wheat) (Terminated)","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"Oats","121.00","132.00","128.00","138.00","120.00","118.00","117.00","97.00","95.00","98.00","115.00","112.00","119.00","124.00","124.00","120.00","119.00","123.00","125.00","111.00","109.00","119.00","145.00","147.00","131.00","133.00","138.00","139.00","146.00","146.00","135.00","129.00","118.00","124.00","130.00","127.00","137.00","139.00","141.00","145.00","150.00","144.00","150.00","129.00","125.00","123.00","130.00","133.00","136.00","129.00","131.00","129.00","138.00","135.00","137.00","125.00","110.00","113.00","105.00","97.00","97.00","100.00","100.00","99.00","110.00","116.00","119.00","96.00","107.00","102.00","96.00","104.00","111.00","112.00","112.00","116.00","109.00","104.00","118.00","103.00","110.00","115.00","123.00","129.00","129.00","133.00","145.00","145.00","160.00","155.00","166.00","157.00","152.00","148.00","161.00","158.00","170.00","160.00","177.00","179.00","180.00","185.00","181.00","170.00","165.00","166.00","175.00","179.00","170.00","172.00","182.00","184.00","179.00","174.00","180.00","166.00","174.00","176.00","178.00","179.00","173.00","169.00","166.00","167.00","164.00","167.00","160.00","132.00","135.00","131.00","135.00","145.00","158.00","168.00","166.00","163.00","151.00","151.00","149.00","150.00","154.00","175.00","185.00","190.00","182.00","176.00","191.00","190.00","197.00","192.00","195.00","197.00","195.00","193.00","193.00","198.00","193.00","199.00","211.00","215.00","208.00","202.00","195.00","187.00","176.25","190.00","190.00","190.00","188.00","185.00","185.00","188.75","189.00","185.00","178.45","159.07","154.98","174.20","171.12","171.67","180.81","189.95","192.41","185.00","185.71","186.47","176.80","170.40","165.32","164.15","164.15","172.95","185.21","186.44","183.77","186.70","170.16","190.46","180.94","142.52","132.04","139.41","158.81","163.70","163.71","172.50","172.53","173.00","167.44","154.48","163.02","153.17","139.53","166.02","174.66","183.17","173.79","206.40","206.37","209.97","196.86","218.44","218.44","182.04","175.89","204.33","221.66","211.98","226.51","209.48","220.66","222.68","221.26","230.04","222.40","206.78","162.78","208.30","231.99","228.29","246.08","226.84","226.49","239.98","245.48","254.07","249.85","175.37","198.14","192.29","252.70","255.24","241.46","244.51","247.30","255.18","280.39","262.41","258.61","191.03","186.26","244.39","288.38","316.45","302.18","296.64","362.76","307.10","346.39","346.75","361.72","299.95","229.86","379.18","318.86","344.99","382.40","313.61","287.04","329.91","371.60","312.29","294.91","239.16","250.96","351.45","340.51","328.36","364.03","379.16","340.97","345.01","363.53","361.81","364.49","279.32","255.84","277.76","281.38","321.10","284.38","317.65","298.41","257.98","260.56","225.21","227.11","163.01","161.71","238.49","243.52","322.96","309.10"
,"Barley 3 4","144.00","139.00","134.00","143.00","134.00","130.00","129.00","104.00","104.00","101.00","118.00","125.00","132.00","135.00","138.00","136.00","141.00","145.00","142.00","117.00","126.00","142.00","142.00","147.00","153.00","155.00","158.00","159.00","163.00","164.00","159.00","145.00","131.00","135.00","152.00","141.00","143.00","158.00","151.00","156.00","157.00","153.00","152.00","120.00","129.00","125.00","128.00","125.00","128.00","128.00","128.00","129.00","130.00","129.00","132.00","125.00","130.00","117.00","119.00","119.00","117.00","122.00","120.00","117.00","125.00","117.00","131.00","101.00","99.00","99.00","105.00","112.00","123.00","120.00","119.00","112.00","114.00","111.00","104.00","93.00","92.00","125.00","143.00","156.00","160.00","164.00","179.00","190.00","189.00","196.00","199.00","165.00","149.00","188.00","175.00","183.00","175.00","191.00","182.00","199.00","198.00","200.00","207.00","185.00","180.00","182.00","185.00","195.00","188.00","194.00","190.00","186.00","187.00","191.00","186.00","177.00","170.00","172.00","178.00","180.00","180.00","180.00","177.00","170.00","165.00","167.00","165.00","160.00","161.00","165.00","175.00","185.00","201.00","205.00","208.00","217.00","215.00","218.00","223.00","242.00","210.00","220.00","228.00","230.00","228.00","230.00","238.00","238.00","245.00","252.00","258.00","252.00","255.00","260.00","262.00","268.00","268.00","262.00","257.00","253.00","248.00","248.00","238.00","224.00","176.25","175.00","178.75","180.00","182.00","185.00","185.00","188.75","192.00","200.00","191.83","159.10","159.73","187.72","186.32","187.50","198.43","209.37","210.51","218.39","226.92","233.57","226.48","208.38","190.28","191.02","198.46","183.97","189.37","196.69","194.59","191.08","194.91","187.27","174.96","133.96","137.23","146.95","146.23","141.18","154.62","163.56","177.20","175.90","172.14","175.93","183.69","144.72","159.78","200.72","204.46","203.90","211.37","209.97","208.26","211.92","213.17","225.00","218.07","182.49","196.68","206.67","214.24","209.51","218.40","220.56","220.38","227.56","222.07","225.69","228.12","194.54","223.14","215.50","232.60","231.02","244.74","224.77","260.48","254.58","260.78","264.85","255.85","169.93","202.45","247.06","253.19","264.63","255.92","263.10","271.37","279.07","283.64","288.00","278.27","202.85","231.12","296.37","319.11","333.02","332.71","327.92","326.82","333.04","343.48","332.98","328.40","289.00","231.14","299.46","314.74","341.02","331.66","327.08","323.72","331.80","320.18","304.03","308.69","218.64","251.05","360.49","359.36","358.23","360.76","350.90","357.08","303.56","309.37","316.94","261.84","230.15","247.32","235.31","234.68","234.43","232.11","222.20","229.59","228.92","219.58","213.27","200.20","147.27","162.30","187.30","188.38","198.48","190.76"
,"Soybeans","286.00","264.00","280.00","220.00","264.00","260.00","268.00","242.00","242.00","242.00","242.00","242.00","242.00","242.00","242.00","242.00","242.00","242.00","242.00","235.00","235.00","235.00","235.00","235.00","235.00","235.00","235.00","235.00","235.00","235.00","235.00","360.00","350.00","328.00","343.00","346.00","355.00","356.00","361.00","360.00","366.00","362.00","350.00","356.00","365.00","370.00","390.00","373.00","385.00","393.00","348.00","400.00","410.00","405.00","400.00","415.00","322.00","220.00","257.00","195.00","192.00","189.00","177.00","177.00","180.00","185.00","185.00","200.00","220.00","240.00","240.00","220.00","230.00","230.00","230.00","225.00","230.00","235.00","240.00","260.00","300.00","300.00","300.00","305.00","310.00","320.00","300.00","288.92","329.99","325.00","325.00","325.00","342.00","349.00","349.00","340.00","380.00","380.00","364.00","400.00","400.00","398.00","400.00","400.00","390.00","390.00","420.00","404.00","400.00","410.00","378.00","374.00","404.00","410.00","420.00","420.00","420.00","384.00","380.00","386.00","385.00","370.00","355.00","336.00","308.00","315.00","320.00","335.00","349.00","336.00","337.00","337.00","340.00","340.00","340.00","340.00","345.00","345.00","452.00","455.00","460.00","460.00","451.00","440.00","420.00","450.00","451.00","465.00","475.00","490.00","510.00","525.00","507.00","503.00","484.00","488.00","490.00","495.00","498.00","508.00","518.00","535.00","540.00","502.00","447.72","427.13","443.66","451.63","442.02","428.20","416.44","432.15","436.16","421.96","435.37","431.21","359.71","365.94","395.25","378.65","411.83","385.86","425.72","400.38","444.97","407.48","406.50","441.36","400.94","365.79","353.87","379.43","410.91","371.26","390.03","400.88","387.71","430.41","463.60","422.36","425.42","434.34","421.30","426.61","467.84","441.78","439.27","448.51","456.42","448.96","419.80","460.50","416.54","416.54","414.03","416.09","407.47","403.21","419.29","420.88","404.34","410.35","374.04","388.03","435.05","446.48","404.08","424.66","424.95","439.28","455.61","415.69","396.03","415.51","424.32","422.41","426.59","398.46","404.23","415.34","463.82","454.29","413.90","410.98","425.34","426.45","439.24","426.07","443.11","451.70","478.87","502.82","549.34","548.73","560.28","571.48","596.11","555.55","544.44","563.69","481.47","482.08","461.32","508.60","538.43","589.11","615.52","652.84","647.82","634.72","598.32","646.08","727.04","676.39","656.10","702.03","614.23","620.38","623.92","611.12","623.34","570.45","576.15","583.84","572.16","537.83","543.21","548.64","521.64","516.43","511.26","490.81","485.90","471.33","466.61","452.61","448.09","428.87","404.67","431.80","436.12","440.48","431.67","435.98","440.34","435.94","436.68","435.47","432.53","435.23","465.31","474.61","458.46"
,"Canola (including rapeseed)","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
,,"Dollars per hundredweight",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Cattle for slaughter 5","72.14","72.90","73.02","82.65","80.00","78.17","80.22","77.06","72.31","72.35","71.86","70.37","77.07","81.08","83.78","87.18","86.89","87.42","86.53","82.03","75.84","71.79","72.67","73.94","75.28","82.31","82.94","77.37","76.81","74.51","74.56","72.48","68.92","67.56","67.59","73.21","75.46","73.68","70.33","73.94","68.84","56.03","29.49","30.40","40.55","41.16","45.86","45.75","46.54","42.59","47.05","49.94","48.48","44.46","43.97","40.99","44.48","43.77","41.76","45.75","49.71","52.73","51.40","51.52","52.42","52.57","58.22","56.70","55.88","53.63","55.31","59.31","61.47","57.23","56.31","55.56","56.76","58.87","58.37","58.97","57.59","56.25","54.51","54.22","56.78","60.72","63.71","66.16","68.88","64.85","62.34","57.88","54.48","48.72","45.98","48.99","51.92","56.02","56.79","57.54","57.12","65.58","69.52","70.21","67.33","62.58","63.81","62.87","66.26","65.52","67.89","68.55","69.08","65.06","63.89","58.36","56.19","51.52","51.03","51.09","55.05","58.98","59.52","62.95","64.47","65.47","66.40","64.75","63.99","62.28","59.94","60.56","67.83","73.08","75.26","79.28","78.10","77.92","78.04","76.74","76.02","76.08","79.43","80.59","88.16","90.29","91.39","88.49","89.78","90.77","85.69","82.70","80.61","78.30","80.17","80.64","83.93","86.80","87.81","86.75","88.66","90.62","91.38","91.09","89.17","88.99","89.46","90.02","98.48","108.11","111.21","114.47","116.36","119.43","127.98","129.87","124.07","125.39","129.64","132.89","142.18","146.83","150.92","154.43","155.16","154.55","150.38","145.88","137.64","118.54","118.56","111.60","123.39","126.26","124.06","121.13","113.13","117.55","113.30","109.06","97.23","93.77","93.22","97.67","104.94","106.81","110.73","115.94","126.35","129.08","115.50","107.42","95.90","95.89","97.33","98.86","105.31","103.86","107.60","105.09","106.02","106.44","104.83","99.76","95.05","98.18","96.07","95.74","98.98","102.66","103.14","104.73","108.38","108.19","104.76","104.01","102.37","99.44","95.55","96.60","102.13","105.99","108.16","101.56","110.43","118.37","109.40","111.02","105.00","100.96","98.09","97.94","98.28","102.93","105.71","108.30","112.45","118.06","118.91","113.04","117.95","114.79","112.26","113.37","121.73","125.19","129.91","131.29","135.21","142.89","142.17","137.00","136.38","135.71","135.61","136.84","140.20","146.43","155.66","160.82","167.80","180.39","177.36","173.56","176.45","176.14","167.67","161.71","163.08","174.98","179.98","185.91","191.60","194.07","195.82","201.09","193.18","191.02","189.54","191.01","202.57","214.52","212.16","224.14","230.90","243.91","249.77","249.09","253.50","242.15","238.29","229.43","242.07"
,"Hogs 6","61.72","67.74","72.09","81.99","87.94","85.16","87.92","81.05","74.00","74.18","66.79","69.10","64.97","69.77","84.78","88.84","92.95","96.33","97.68","95.77","86.49","77.98","69.26","62.64","70.03","77.74","72.81","62.87","62.41","65.80","73.66","71.62","50.96","59.45","55.10","57.89","58.87","64.88","63.11","62.45","67.50","75.19","73.69","69.91","63.16","61.75","52.10","52.33","53.78","65.88","72.36","73.00","85.99","88.93","86.90","85.58","78.65","76.79","71.04","73.22","69.50","69.76","68.17","64.59","73.20","70.26","65.44","66.84","65.44","63.01","57.80","55.61","53.88","50.57","54.96","52.54","56.88","63.54","68.59","64.82","65.47","60.56","58.60","57.10","57.23","60.54","62.59","59.67","65.27","66.27","64.63","63.13","58.22","49.53","42.72","41.62","42.05","43.77","46.89","47.43","64.10","66.53","64.83","73.39","71.45","65.67","60.27","54.13","57.94","62.77","63.61","62.04","60.60","56.42","57.69","50.37","47.33","46.44","49.83","54.99","60.66","62.84","64.76","66.68","78.70","73.73","73.15","76.04","76.21","68.48","56.62","60.81","65.86","73.57","73.49","78.31","79.87","82.44","84.30","90.55","81.30","84.74","79.93","77.53","75.65","77.61","78.18","74.20","72.58","83.28","91.15","84.31","67.61","70.11","74.24","72.61","74.34","79.61","72.75","72.22","79.60","90.09","96.43","93.60","88.84","86.98","82.21","77.62","77.01","82.14","102.56","124.94","112.67","110.45","124.17","121.11","99.65","108.94","94.07","90.03","82.28","77.27","72.46","68.17","78.61","90.81","88.82","91.91","89.41","86.07","80.55","68.01","69.91","80.23","79.92","77.41","86.25","93.71","95.94","82.43","75.44","64.29","60.94","64.23","72.06","84.72","88.40","78.46","82.15","98.18","107.26","98.52","77.56","65.72","78.05","73.55","75.52","83.44","77.74","64.03","73.79","89.38","97.34","75.24","58.53","79.21","74.68","67.40","66.65","67.94","65.57","93.59","101.45","98.28","86.63","96.91","79.81","73.31","76.40","73.76","71.58","72.28","72.37","72.53","80.91","72.03","59.36","65.47","73.91","94.09","89.10","77.17","74.67","83.71","100.19","116.42","120.43","129.68","128.08","126.46","113.42","102.98","88.05","86.79","85.78","100.37","115.42","111.85","114.67","121.16","124.47","125.08","105.29","104.75","101.32","92.32","89.77","87.59","96.42","85.77","84.95","91.49","111.62","114.18","101.63","96.70","92.36","87.16","88.63","91.56","95.69","103.13","104.67","105.10","102.84","107.96","100.63","102.83","109.80","103.81","103.10","107.97","107.45","101.23","104.14","117.44","120.94","124.09","121.67","114.67","107.35","103.52","101.83"
"Nova Scotia",,"Dollars per metric tonne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Non-board wheat (except durum wheat) (Terminated)","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"Oats","120.00","120.00","115.00","125.00","135.00","129.00","130.00","105.00","100.00","95.00","115.00","131.00","137.00","137.00","145.00","169.00","169.00","170.00","174.00","165.00","135.00","126.00","134.00","140.00","150.00","160.00","170.00","180.00","185.00","178.00","180.00","200.00","169.00","163.00","162.00","158.00","158.00","165.00","170.00","179.00","185.00","186.00","190.00","170.00","150.00","184.00","185.00","187.00","170.00","175.00","175.00","175.00","175.00","170.00","165.00","150.00","169.00","140.00","140.00","140.00","140.00","135.00","130.00","135.00","140.00","148.00","146.00","150.00","140.00","130.00","125.00","120.00","120.00","120.00","120.00","130.00","130.00","120.00","120.00","127.00","131.00","130.00","125.00","130.00","140.00","150.00","168.00","150.00","160.00","170.00","160.00","160.00","150.00","166.00","175.00","205.00","200.00","188.00","188.00","188.00","189.00","200.00","183.00","189.00","181.00","167.00","165.00","161.00","180.00","190.00","200.00","215.00","210.00","215.00","225.00","215.00","200.00","178.00","179.00","170.00","168.00","170.00","167.00","170.00","165.00","167.00","165.00","163.00","160.00","155.00","156.00","151.00","150.00","166.00","175.00","170.00","168.00","175.00","179.00","165.00","171.00","180.00","191.00","182.00","183.00","175.00","190.00","190.00","190.00","190.00","187.00","192.00","190.00","189.00","191.00","195.00","192.00","197.00","201.00","210.00","202.00","200.00","193.00","192.00","192.00","223.89","220.63","240.56","233.89","230.00","219.17","230.63","233.63","257.78","232.88","200.28","201.25","193.96","200.46","194.64","190.75","194.94","203.66","201.48","191.37","193.66","188.68","195.41","189.58","180.57","181.63","183.44","174.41","170.92","165.93","162.62","159.94","189.82","164.09","129.25","119.74","137.93","162.94","163.57","171.02","165.97","170.39","168.62","195.02","197.04","205.89","202.30","198.31","191.25","190.78","207.78","203.06","200.53","210.29","221.99","218.96","219.68","221.12","189.69","197.93","202.26","212.45","205.95","222.21","222.21","222.21","227.35","209.04","228.38","231.47","216.45","204.72","206.78","204.10","203.00","208.22","221.18","230.58","239.80","231.50","240.76","236.38","200.93","203.97","202.14","210.06","220.54","233.80","242.53","245.30","252.30","277.23","259.45","255.69","222.28","221.57","258.23","304.71","328.35","329.39","321.91","328.35","327.85","332.50","341.77","345.70","286.67","237.93","314.23","267.10","283.77","289.61","278.02","261.34","251.40","250.69","225.77","211.00","244.76","247.35","250.26","265.28","261.87","274.96","280.46","269.51","261.42","266.65","263.99","266.63","253.30","248.23","255.53","255.69","253.10","251.15","253.66","238.44","226.52","228.78","230.27","232.57","216.29","214.13","226.51","223.26","224.62","224.62"
,"Barley 3 4","145.00","145.00","135.00","131.00","125.00","130.00","130.00","134.00","123.00","125.00","145.00","145.00","136.00","165.00","171.00","170.00","167.00","170.00","167.00","156.00","159.00","159.00","171.00","175.00","177.00","185.00","186.00","186.00","187.00","187.00","183.00","175.00","158.00","169.00","173.00","174.00","179.00","183.00","186.00","184.00","185.00","181.00","184.00","147.00","139.00","155.00","159.00","165.00","165.00","165.00","165.00","165.00","160.00","170.00","173.00","173.00","154.00","158.00","157.00","155.00","155.00","142.00","155.00","155.00","155.00","155.00","155.00","133.00","110.00","110.00","110.00","120.00","130.00","130.00","130.00","130.00","130.00","150.00","145.00","120.00","145.00","155.00","165.00","165.00","165.00","165.00","190.00","225.00","218.00","200.00","195.00","165.00","163.00","214.00","190.00","200.00","205.00","210.00","210.00","215.00","219.00","215.00","215.00","195.00","189.00","216.00","229.00","215.00","215.00","220.00","222.00","220.00","235.00","220.00","200.00","190.00","189.00","178.00","178.00","180.00","184.00","177.00","185.00","180.00","180.00","180.00","180.00","174.00","171.00","176.00","175.00","173.00","185.00","210.00","230.00","240.00","239.00","238.00","229.00","235.00","220.00","225.00","230.00","232.00","235.00","237.00","245.00","245.00","250.00","255.00","260.00","260.00","262.00","265.00","265.00","271.00","272.00","265.00","257.00","260.00","255.00","258.00","250.00","230.00","210.00","204.00","205.00","214.00","220.00","221.25","225.00","237.50","239.00","243.00","243.50","191.88","204.20","207.92","215.24","214.60","203.87","207.24","209.32","217.16","208.29","216.88","218.27","223.30","206.10","212.94","207.21","231.45","205.50","204.60","200.82","196.20","199.28","211.40","178.30","136.52","164.87","163.91","147.90","152.44","156.35","155.61","158.57","160.05","167.12","167.03","175.49","172.87","191.52","192.72","190.60","196.33","190.31","191.84","189.59","192.29","203.13","210.65","203.13","192.97","193.42","190.71","187.33","212.16","212.16","222.31","219.38","224.57","222.09","230.21","232.47","223.89","218.93","206.51","218.48","219.68","226.57","228.68","247.01","247.01","254.65","257.20","246.70","204.76","204.76","216.37","221.74","231.26","244.55","256.40","257.49","262.64","266.94","271.04","261.88","222.60","244.86","281.73","303.35","318.97","309.98","310.50","311.44","318.10","328.07","295.11","292.16","280.47","229.98","265.44","278.98","292.38","296.38","290.25","284.61","268.14","265.05","260.20","257.47","260.05","280.62","301.79","300.85","300.01","302.13","293.47","296.05","278.29","280.95","286.57","236.75","236.39","238.76","239.25","237.73","230.66","224.77","219.43","224.17","217.45","207.44","210.64","198.67","178.81","184.17","187.86","188.94","195.81","193.85"
,"Soybeans","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
